animeA_id,animeB_id,relation_type
20955,16371,Other
40761,10087,Other
31675,20583,Other
33455,40716,Other
37980,35843,Other
34389,28405,Other
32191,9260,Other
49510,46471,Other
30305,30019,Other
30813,35507,Other
10491,1889,Other
33119,24765,Other
36517,35330,Other
50315,31722,Other
30921,30922,Other
49057,34741,Other
23341,48375,Other
8068,4898,Other
6971,37140,Other
21541,15225,Other
17897,13177,Other
35500,32995,Other
34872,16371,Other
38021,35265,Other
32476,19111,Other
10501,10016,Other
33360,34439,Other
20359,24627,Other
37860,18507,Other
40034,38826,Other
5147,1720,Other
34541,37189,Other
2006,481,Other
49661,35883,Other
2868,1388,Other
6731,93,Other
48589,48576,Other
24781,32548,Other
33569,29803,Other
38331,48917,Other
39529,32582,Other
39931,46491,Other
40712,40930,Other
50414,40462,Other
40083,40507,Other
9627,30704,Other
40748,38777,Other
2057,2779,Other
33708,5337,Other
19573,13639,Other
39659,35843,Other
51263,5337,Other
21607,39056,Other
50251,31652,Other
16472,29085,Other
34647,644,Other
42129,4044,Other
33903,31174,Other
33200,37368,Other
34389,30654,Other
41574,35814,Other
35306,20,Other
30016,34533,Other
38784,14829,Other
19391,23775,Other
1668,34905,Other
32151,32836,Other
34332,42546,Other
40473,42875,Other
33669,603,Other
38837,40948,Other
38676,1397,Other
17897,8815,Other
30450,30694,Other
36639,42486,Other
34284,34394,Other
35122,23775,Other
43745,93,Other
17137,131,Other
50275,16099,Other
4399,31518,Other
34710,15039,Other
10909,3784,Other
33724,28977,Other
35267,16498,Other
19391,16498,Other
48859,40880,Other
5324,2869,Other
3784,80,Other
36022,9539,Other
17791,38027,Other
30018,6850,Other
9393,14827,Other
3785,35224,Other
10607,46735,Other
23361,23369,Other
22675,35219,Other
29729,19849,Other
40181,10074,Other
12851,19319,Other
37307,37304,Other
2229,39274,Other
35501,1915,Other
40861,31592,Other
30537,11099,Other
49395,36704,Other
51153,51152,Other
28805,38028,Other
2389,37521,Other
37622,50663,Other
9958,23153,Other
2356,11755,Other
9289,9002,Other
1799,48582,Other
32147,30777,Other
395,40711,Other
6970,19799,Other
37362,40489,Other
38055,19319,Other
37278,40489,Other
6875,25457,Other
40342,37622,Other
34763,34764,Other
644,38154,Other
36714,19961,Other
1678,1342,Other
41063,80,Other
49395,33845,Other
40761,27821,Other
37472,32842,Other
2298,1092,Other
49396,35191,Other
41782,37870,Other
32511,18343,Other
24415,29583,Other
49291,32153,Other
1092,19319,Other
8190,5656,Other
22817,29325,Other
3734,35070,Other
38784,27821,Other
14353,1090,Other
10937,19319,Other
38055,37245,Other
6971,39414,Other
39591,31645,Other
34764,34763,Other
17267,33308,Other
38850,7645,Other
38021,36624,Other
35658,31658,Other
37096,5962,Other
10909,1091,Other
33903,42391,Other
31251,1092,Other
36064,40206,Other
40250,6872,Other
33558,34939,Other
38085,40206,Other
29583,31658,Other
36624,6702,Other
30,37764,Other
37562,1342,Other
10573,24457,Other
32511,23137,Other
37843,22043,Other
48896,37781,Other
34973,25897,Other
36646,11375,Other
35267,36106,Other
39935,24835,Other
3444,2298,Other
32737,2356,Other
31050,33685,Other
32147,4094,Other
46420,45567,Other
23831,38256,Other
2123,41206,Other
37662,9884,Other
38086,22297,Other
6702,35067,Other
8038,5656,Other
32681,35982,Other
40761,33049,Other
36915,22297,Other
36529,30344,Other
6948,18897,Other
918,36838,Other
21855,11981,Other
8624,41206,Other
3366,26359,Other
2355,5658,Other
37662,34239,Other
29832,30417,Other
38600,4672,Other
38400,17819,Other
24997,30896,Other
50203,30896,Other
25939,37933,Other
36064,3782,Other
39416,33734,Other
36915,3782,Other
37831,36439,Other
34845,34847,Other
1668,10987,Other
30745,13373,Other
51234,15649,Other
37622,29729,Other
33149,8310,Other
10937,3784,Other
19285,19391,Other
36456,50532,Other
34787,40880,Other
41030,1091,Other
16894,34784,Other
38958,38085,Other
33997,16576,Other
19961,33903,Other
30311,34784,Other
32,1091,Other
38027,37860,Other
17707,18109,Other
3318,1967,Other
39014,37859,Other
29035,1629,Other
39277,10370,Other
32191,23831,Other
39416,38899,Other
37814,51123,Other
37818,31174,Other
33720,38429,Other
281,24835,Other
39762,38025,Other
36805,10737,Other
37814,51125,Other
35283,34566,Other
33720,39429,Other
35191,37859,Other
48918,32148,Other
28013,33806,Other
49661,29801,Other
31055,37398,Other
33970,49690,Other
37860,13373,Other
39935,82,Other
35198,17791,Other
38632,37664,Other
34321,3783,Other
49396,17819,Other
18121,19297,Other
23775,39478,Other
147,86,Other
37980,38899,Other
37431,35067,Other
31647,36197,Other
37283,1669,Other
18153,13373,Other
30777,32734,Other
51013,20159,Other
38784,33050,Other
32927,38714,Other
5270,86,Other
32148,37931,Other
39659,39415,Other
3915,32143,Other
21743,37431,Other
28755,33513,Other
37124,32174,Other
32681,89,Other
30514,48820,Other
37860,17811,Other
36914,34321,Other
32148,48919,Other
29035,1628,Other
1398,31494,Other
37626,35219,Other
19849,37931,Other
36339,32349,Other
918,35219,Other
19489,32,Other
37215,38203,Other
1342,8394,Other
10937,40192,Other
39839,40342,Other
30122,3785,Other
35854,6735,Other
20667,40192,Other
9735,38469,Other
38683,39839,Other
38632,39762,Other
41096,39839,Other
35454,1669,Other
23943,3927,Other
35843,35347,Other
30122,3927,Other
34844,36197,Other
30122,16774,Other
33489,14353,Other
35067,34238,Other
38299,12979,Other
1341,8394,Other
10012,34321,Other
40298,36683,Other
35306,12979,Other
