anime_id,genre_id
2366,1
4940,2
4940,3
50285,4
3975,4
3975,5
36036,2
36036,3
36036,6
41426,5
49065,4
49065,6
48335,4
48335,6
30417,4
30417,6
38138,7
38138,8
38138,9
38138,6
36506,10
36506,6
37787,3
37787,11
47164,2
47164,3
47164,4
47164,10
47164,12
18227,2
18227,13
5374,14
5374,5
5374,6
40273,15
41384,4
41384,5
41384,16
41384,6
48418,2
48418,10
48418,17
48418,18
51119,2
51119,18
34928,4
34928,7
48363,4
48363,10
48363,5
45596,4
45596,12
49221,19
49221,6
9781,2
9781,7
9781,13
48770,4
38525,3
38525,16
38525,6
37653,4
37653,19
30605,4
42994,4
42994,1
50220,2
50220,3
50220,4
50220,10
50220,12
50220,20
49920,6
5278,2
5278,3
5278,4
5278,12
5278,7
50631,4
50631,21
50631,5
50631,18
50631,22
39007,4
41101,5
41101,6
36002,4
36002,15
17423,21
17423,5
17423,19
35108,23
35108,6
27393,3
27393,22
2708,4
2708,10
2708,6
41440,4
41440,1
30151,4
30151,5
38136,7
38136,9
38136,6
8025,4
32585,3
35364,6
48413,4
48413,10
48413,12
48413,1
48413,17
38857,24
38857,6
50380,4
50346,12
50346,1
50346,25
50346,22
37117,3
37117,6
49556,8
49184,5
34309,4
34309,1
42144,2
42144,3
42144,4
42144,10
42144,6
35920,5
50869,10
50869,26
50869,24
44524,2
44524,3
44524,10
44524,12
44524,20
50284,19
39664,4
39664,6
49784,4
49784,10
49784,1
49784,17
49784,18
49784,22
50606,2
50606,4
50606,12
50606,26
50606,22
50384,2
50384,1
50384,27
22893,12
22893,28
38363,4
38363,29
38075,16
38075,6
42979,2
42979,6
41277,10
41277,6
39039,2
39039,3
39039,4
39039,10
39039,6
34511,2
34511,3
34511,4
34511,16
34511,30
34511,6
47998,6
48262,2
48262,3
48262,7
48262,6
10815,2
10815,7
10815,13
49828,13
49891,2
49891,10
47158,4
47158,12
47158,18
37225,6
5140,19
5140,6
10709,21
10709,5
10709,15
10709,27
44511,2
44511,3
44511,17
44511,22
50203,5
50203,19
50203,18
34664,7
34664,6
48789,4
48789,6
37428,3
37428,10
37428,6
48343,10
48343,18
48343,6
33479,5
39012,7
39012,6
48288,6
34129,2
34129,3
34129,21
34129,10
34129,1
34129,15
34129,23
39798,7
39798,15
39798,9
39798,6
49326,4
49326,5
50998,4
50998,5
42745,4
42745,5
47917,4
47917,5
47917,19
44146,6
50197,4
50197,12
50197,5
43771,19
49431,5
47623,5
29435,19
29435,6
30119,6
33739,4
33739,15
33739,6
37359,4
42146,2
42146,3
42146,4
42146,10
42146,23
42146,6
35643,10
35643,24
35643,6
34666,6
38776,5
50470,4
50470,1
50470,19
50470,31
27681,4
27681,5
50522,32
49831,2
49831,21
49831,9
9885,4
9885,10
37244,4
37244,7
37244,6
31237,4
31237,8
38072,16
38072,6
32596,3
32596,4
32596,10
32596,6
42998,4
42998,1
42998,6
37927,4
37927,5
10506,4
35372,10
35372,19
35372,6
37559,33
37559,17
37559,29
24845,4
24845,19
50582,2
50582,10
50582,18
30232,4
30232,10
30232,6
43608,4
43608,12
43608,34
43608,18
43608,27
37752,3
37752,16
37752,24
37752,13
37752,6
38568,4
38568,13
43416,4
41156,4
41156,29
40589,4
40589,6
35957,4
35957,5
36231,3
36231,4
36231,10
33538,21
33538,27
37467,5
50273,24
50273,34
50273,22
5089,4
41467,2
41467,3
41467,4
41467,1
41467,9
41467,22
50416,5
50416,18
50416,27
37951,6
48857,19
37750,3
37750,16
37750,24
37750,13
37750,6
13551,4
13551,21
13551,5
13551,27
33123,4
35696,6
50985,4
50985,17
45486,3
45486,4
45486,10
51180,21
51180,34
51180,18
41514,2
41514,3
41514,4
41514,10
41514,7
50664,2
50664,3
50664,10
34358,5
34358,6
33670,2
33670,3
33670,16
