anime_id,studio_id
2366,1
50285,2
50285,3
3975,4
3975,5
30417,6
37787,7
37787,8
18227,9
5374,10
41384,11
48418,12
51119,13
34928,14
48363,15
9781,4
48770,16
5278,17
39007,18
41101,18
17423,4
2708,19
2708,20
48413,21
38857,20
50380,22
50346,23
37117,4
37117,24
49556,25
49556,26
34309,6
42144,27
50284,15
38363,28
42979,29
39039,30
39039,31
34511,32
10815,33
10815,34
37225,35
10709,36
44511,37
50203,38
48789,39
37428,40
34129,41
42745,1
49431,42
47623,14
33739,43
37359,44
42146,27
27681,45
49831,13
49831,46
9885,4
37244,47
31237,15
32596,26
32596,48
10506,18
37559,6
24845,49
30232,26
43608,50
38568,6
43416,18
40589,39
35957,18
37467,18
50273,51
48857,21
13551,52
33123,53
50985,45
8685,33
50678,54
32568,20
31555,55
48760,56
48760,57
42385,58
45653,12
47194,26
45207,18
3514,20
38585,1
34235,20
34235,59
39473,15
48495,60
43729,61
33933,6
35385,20
31539,18
23829,62
35817,63
50923,64
47163,65
48415,12
48415,66
40423,6
35025,1
49692,67
3073,50
5234,50
10887,36
9811,25
33398,18
49160,68
48517,58
10797,6
8799,69
34348,70
36135,6
22247,4
10889,71
7211,20
38006,72
19681,4
8065,73
6701,33
11203,74
11203,75
12391,4
22465,76
10987,77
50330,78
31019,18
22585,18
30411,18
40356,79
40356,80
46654,81
48649,56
46381,26
33044,6
39474,82
33835,15
32876,83
41686,1
34669,84
43684,61
30892,6
49438,85
47162,1
40092,35
51212,86
23013,33
6868,87
30989,18
13457,76
48904,88
48790,6
50871,89
16303,73
16303,24
18941,90
41470,91
34794,20
33085,18
50052,6
51305,44
51305,92
50172,78
50193,19
50193,93
43778,19
35963,15
5473,4
34488,47
51304,94
49233,92
50955,95
42468,29
42870,14
48675,96
48675,45
11497,25
50141,6
36611,18
34852,26
9371,25
51215,85
49776,97
49776,70
37560,98
49533,23
33002,6
33290,99
48895,64
46569,37
45613,15
35914,6
48594,59
50681,100
28247,6
42740,29
50760,101
16393,73
33188,6
13177,102
30144,6
48542,103
50607,104
7639,83
18939,90
32402,18
38571,6
8832,105
50205,106
19445,33
34831,4
20077,33
39040,26
39040,95
13465,102
3414,107
34207,108
50461,109
10459,6
48491,110
34841,4
41589,111
41589,112
30223,113
32944,18
35335,114
13463,18
42429,19
11533,36
42090,6
8195,73
4684,20
36552,26
36552,45
22755,6
9426,20
41807,115
48417,12
48316,116
49664,117
49664,118
48702,37
50552,20
48779,119
5477,120
5477,20
42482,99
34456,121
50739,68
50528,30
8415,122
50438,123
50438,124
15915,73
30470,6
32842,6
34156,6
30342,125
51306,126
30777,6
51213,127
50265,95
50265,11
40832,6
38147,128
10210,71
50338,11
20125,4
20125,69
24403,18
34234,20
34234,129
49691,67
44056,130
50250,15
20243,45
8829,105
48643,68
41349,14
22669,6
3251,4
30893,9
20083,69
51037,30
51037,31
35476,102
35478,18
50221,56
42963,20
49052,44
23973,45
23511,14
50248,93
41114,6
39003,49
9533,20
40953,59
9520,38
34233,20
34233,131
38569,6
39679,132
5594,25
37369,133
19873,73
19831,73
27521,99
38570,6
31361,18
9455,45
51132,60
40333,101
42179,59
4598,69
39031,99
51252,97
51155,70
38881,134
49596,110
23555,18
40758,135
15957,69
37328,83
41115,136
44848,45
8353,4
50175,137
50060,138
50495,26
12039,139
37978,26
37054,121
36551,140
13165,141
41461,142
50099,143
50099,56
5841,83
37780,18
33753,43
8191,144
50287,64
49555,145
49555,141
48981,13
36003,131
43611,32
49304,112
49304,146
51019,147
29846,48
2930,148
33473,149
46652,30
46652,31
48842,150
37096,73
33310,36
49520,151
48742,152
6981,83
50613,23
20001,4
31699,134
42083,4
50710,153
12243,45
38365,154
51293,23
50379,137
41529,30
41529,31
50481,59
40091,35
9028,73
50392,155
36486,140
51064,52
41392,23
41392,151
30524,60
10611,156
24,59
42203,157
23273,50
1892,145
10346,4
6067,73
39572,158
34636,44
18097,26
2142,73
4477,1
25519,159
40417,20
41389,155
34280,103
37450,11
5203,4
11769,160
23199,161
4999,156
3182,111
2933,69
3290,44
7793,4
6674,20
4013,69
3425,25
369,64
21561,50
38992,162
33023,15
45560,163
25159,164
32664,165
17265,52
934,83
6682,15
5071,26
5997,4
4504,71
3806,166
17211,69
2771,167
2771,168
2771,169
3505,38
5075,38
5395,38
3114,73
2741,26
44273,1
8409,4
3765,25
3036,145
2826,170
2826,171
3136,172
3486,38
3021,4
4060,25
3672,73
4101,59
6625,4
3768,33
4773,25
5022,69
23901,15
31764,64
16706,173
38331,143
19429,85
48556,64
48556,37
37597,11
121,78
34382,174
4054,139
8215,24
32663,18
4723,25
754,20
6093,73
2084,9
19585,33
40045,19
40045,93
3315,38
11841,175
5200,176
1891,177
1891,145
6087,4
5023,178
5833,69
2929,77
3437,38
39918,179
6571,62
4536,38
4782,25
4061,25
1313,4
21327,30
16524,44
112,180
112,34
47250,181
45576,182
13601,44
4211,183
9916,64
9916,71
1771,4
30030,83
5274,4
3271,25
3271,30
37324,26
2040,9
4242,172
3501,148
1897,38
3433,4
42295,4
5088,184
4132,4
6055,83
2885,148
8900,177
3335,25
36418,185
10607,73
30386,44
30386,26
1660,186
10554,25
3313,187
3020,4
2916,38
3022,4
34927,83
5217,188
4651,4
5440,38
40880,69
6604,83
6604,189
8542,190
11835,175
3761,25
5886,176
31592,26
160,156
62,97
62,138
36548,191
24277,20
41456,1
877,64
28891,44
12467,192
42249,23
15085,30
37744,119
2758,38
9905,33
5494,25
968,20
2518,63
40983,25
40983,69
1651,145
5763,193
1713,194
2624,20
8812,1
2510,9
4067,120
1548,4
1848,38
798,1
3305,38
1986,4
5953,9
2039,73
3935,78
3877,189
3325,38
3345,25
1333,25
1638,25
2987,38
3460,25
3827,25
6428,36
592,20
3630,4
2087,9
2757,72
4663,9
1040,25
3947,71
3691,71
4191,195
8189,196
8189,197
24417,83
3637,120
3637,30
2694,64
31537,198
29941,125
40497,110
2487,9
23897,15
1236,4
6075,62
3807,69
6397,69
6261,25
39457,199
19961,73
4050,20
2503,25
7479,20
8130,71
2200,38
2570,20
3424,25
3909,4
3836,200
2036,25
28869,45
3281,4
2333,24
2548,25
3213,4
677,38
8960,6
4411,4
40714,26
3754,4
2749,25
5153,38
19877,38
1300,186
34754,83
2011,83
1617,111
7575,36
5600,25
7106,69
5834,20
6636,201
3361,33
3361,34
5854,25
4062,33
2688,69
3876,4
40957,44
40957,202
3418,145
810,145
810,203
5249,150
1175,1
3550,73
2834,204
40145,104
1536,177
4081,30
48761,205
859,4
8424,177
33506,50
13663,177
4898,50
36456,78
8861,97
3493,177
39183,206
2075,33
2075,17
17497,59
12951,83
3834,207
45618,14
3176,9
1188,83
1962,145
6629,4
2552,145
49040,20
616,24
3819,87
1537,4
3146,163
2740,26
4240,4
7551,69
1845,4
3199,25
3356,4
3936,69
3131,166
3844,4
7160,69
14913,38
37968,26
10349,10
1314,38
2704,177
7904,44
2282,150
2254,38
35302,133
3327,38
3723,208
2231,209
2128,38
5018,121
3435,25
3435,9
37651,72
37497,22
16405,91
21405,30
24701,63
440,1
28617,37
6573,78
17895,1
39597,50
1872,177
4056,83
2361,73
34292,210
48365,26
3444,38
6901,38
4554,73
1712,211
1712,212
3000,83
3932,4
3568,38
4929,83
2109,177
1547,45
5832,4
2557,25
3035,9
3035,125
19825,38
4439,69
40367,150
40367,213
32274,97
32274,138
32274,214
48391,26
3660,73
4808,69
10224,4
10224,215
5276,145
37368,104
37368,216
2545,145
34410,84
20075,45
10525,96
50418,26
2255,9
2818,38
1618,1
4800,217
50281,4
23037,83
31706,12
38659,157
2786,218
970,219
970,220
5235,20
34979,104
34979,216
8194,4
1941,77
5618,71
2227,4
2679,44
2679,64
2713,177
42808,221
31566,97
31566,138
31566,214
2553,25
5935,64
8764,73
912,73
4574,38
2501,25
2612,73
2038,73
2598,38
1493,20
34741,26
3676,9
1884,89
3059,73
5908,44
5908,45
2549,25
6900,48
3159,4
280,24
2717,222
2814,223
22541,6
4198,4
6130,4
4051,77
729,145
960,25
3369,4
23409,224
22215,69
22215,141
3075,69
1886,1
1886,225
31410,6
36902,113
1532,138
41226,109
32379,226
32379,227
37433,64
37433,6
2938,9
2400,4
2804,9
2804,125
2089,63
1410,44
2913,25
4023,228
11017,38
2567,25
1391,38
5821,50
5968,4
40327,1
4486,4
2555,25
29687,224
32670,93
4331,31
36728,91
12963,59
2259,59
1947,138
5082,38
5082,4
4586,139
2576,25
2014,83
2820,69
2820,9
2820,125
1955,121
2108,177
2110,177
2230,4
3023,45
3125,145
2912,20
646,83
10562,4
3332,4
3900,229
3900,230
2283,71
2934,218
34510,32
8123,33
1456,86
1893,64
15699,177
34051,231
34279,50
37999,50
36266,232
714,24
714,59
1083,163
4962,83
3561,25
2577,25
2032,148
2257,38
2572,25
2224,69
8216,184
2043,71
9013,83
9013,189
3808,172
50267,126
3355,194
655,64
655,97
1885,231
1885,233
8763,71
607,64
344,145
2228,122
4690,4
19121,9
5476,87
5476,150
4044,229
3670,69
3670,234
21851,235
7307,4
15905,175
613,38
2037,24
1873,236
34543,162
35757,237
35757,66
34866,24
38212,238
1810,86
42307,45
42307,239
275,180
275,34
34902,159
38186,240
38186,241
22147,242
10165,242
226,243
1128,86
332,25
708,221
18845,45
6119,83
40166,26
1022,69
3879,189
45782,244
45782,245
43350,131
333,38
27687,79
3811,36
2706,177
865,38
956,4
1652,193
2556,150
473,221
2716,83
3137,25
5375,17
2331,20
2204,20
5267,71
32572,133
1371,150
1972,24
1972,20
4503,69
4503,234
8235,87
965,77
3079,38
1899,9
1835,177
48567,50
1956,243
7193,64
32526,38
34620,97
40839,20
49285,69
49285,141
1740,148
1846,246
1069,38
1069,4
2157,120
2383,221
9806,175
30410,5
771,195
