genre_id,genres
1,Supernatural
2,Action
3,Adventure
4,Comedy
5,Slice of Life
6,Kids
7,Sci-Fi
8,Sports
9,Super Power
10,Fantasy
11,Space
12,Romance
13,Mecha
14,Gourmet
15,Historical
16,Cars
17,Demons
18,School
19,Music
20,Harem
21,Drama
22,Shounen
23,Martial Arts
24,Game
25,Vampire
26,Ecchi
27,Seinen
28,Shoujo
29,Parody
30,Police
31,Josei
32,Work Life
33,Horror
34,Psychological
35,Mystery
36,Suspense
37,Samurai
38,Military
39,Erotica
40,Boys Love
41,Avant Garde
42,Girls Love
43,Hentai
44,Award Winning
